ISSUERID,IVA_COMPANY_RATING,IVA_RATING_DATE,IVA_INDUSTRY,IVA_PREVIOUS_RATING,IVA_RATING_TREND,INDUSTRY_ADJUSTED_SCORE,WEIGHTED_AVERAGE_SCORE,LAST_SCORE_UPDATE_DATE,ENVIRONMENTAL_PILLAR_SCORE,ENVIRONMENTAL_PILLAR_WEIGHT,ENVIRONMENTAL_PILLAR_QUARTILE,GOVERNANCE_PILLAR_SCORE,GOVERNANCE_PILLAR_WEIGHT,GOVERNANCE_PILLAR_QUARTILE,SOCIAL_PILLAR_SCORE,SOCIAL_PILLAR_WEIGHT,SOCIAL_PILLAR_QUARTILE,GICS_SUB_IND,CLIMATE_CHANGE_THEME_SCORE,CLIMATE_CHANGE_THEME_WEIGHT,BUSINESS_ETHICS_THEME_SCORE,CORPORATE_GOV_THEME_SCORE,ENVIRONMENTAL_OPPS_THEME_SCORE,ENVIRONMENTAL_OPPS_THEME_WEIGHT,HUMAN_CAPITAL_THEME_SCORE,HUMAN_CAPITAL_THEME_WEIGHT,NATURAL_RES_USE_THEME_SCORE,NATURAL_RES_USE_THEME_WEIGHT,WASTE_MGMT_THEME_SCORE,WASTE_MGMT_THEME_WEIGHT,PRODUCT_SAFETY_THEME_SCORE,PRODUCT_SAFETY_THEME_WEIGHT,SOCIAL_OPPS_THEME_SCORE,SOCIAL_OPPS_THEME_WEIGHT,STAKEHOLDER_OPPOSIT_THEME_SCORE,STAKEHOLDER_OPPOSIT_THEME_WEIGHT,E_WASTE_SCORE,E_WASTE_WEIGHT,E_WASTE_QUARTILE,FINANCING_ENV_IMP_SCORE,FINANCING_ENV_IMP_QUARTILE,FINANCING_ENV_IMP_WEIGHT,OPPS_CLN_TECH_SCORE,OPPS_CLN_TECH_QUARTILE,OPPS_CLN_TECH_WEIGHT,OPPS_GREEN_BUILDING_SCORE,OPPS_GREEN_BUILDING_QUARTILE,OPPS_GREEN_BUILDING_WEIGHT,OPPS_RENEW_ENERGY_SCORE,OPPS_RENEW_ENERGY_QUARTILE,OPPS_RENEW_ENERGY_WEIGHT,PACK_MAT_WASTE_SCORE,PACK_MAT_WASTE_WEIGHT,PACK_MAT_WASTE_QUARTILE,PROD_CARB_FTPRNT_SCORE,PROD_CARB_FTPRNT_QUARTILE,PROD_CARB_FTPRNT_WEIGHT,RAW_MAT_SRC_SCORE,RAW_MAT_SRC_QUARTILE,RAW_MAT_SRC_WEIGHT,TOXIC_EMISS_WSTE_SCORE,TOXIC_EMISS_WASTE_QUARTILE,TOXIC_EMISS_WSTE_WEIGHT,WATER_STRESS_SCORE,WATER_STRESS_QUARTILE,WATER_STRESS_WEIGHT,CORP_BEHAV_SCORE,CORP_BEHAV_QUARTILE,ACCESS_TO_COMM_SCORE,ACCESS_TO_COMM_QUARTILE,ACCESS_TO_COMM_WEIGHT,ACCESS_TO_FIN_SCORE,ACCESS_TO_FIN_QUARTILE,ACCESS_TO_FIN_WEIGHT,ACCESS_TO_HLTHCRE_SCORE,ACCESS_TO_HLTHCRE_QUARTILE,ACCESS_TO_HLTHCRE_WEIGHT,CHEM_SAFETY_SCORE,CHEM_SAFETY_QUARTILE,CHEM_SAFETY_WEIGHT,COMM_REL_SCORE,COMM_REL_QUARTILE,COMM_REL_WEIGHT,FIN_PROD_SAFETY_SCORE,FIN_PROD_SAFETY_QUARTILE,FIN_PROD_SAFETY_WEIGHT,CONTROV_SRC_SCORE,CONTROV_SRC_QUARTILE,CONTROV_SRC_WEIGHT,HLTH_SAFETY_SCORE,HLTH_SAFETY_QUARTILE,INS_HLTH_DEMO_RISK_WEIGHT,HLTH_SAFETY_WEIGHT,HUMAN_CAPITAL_DEV_SCORE,HUMAN_CAPITAL_DEV_QUARTILE,HUMAN_CAPITAL_DEV_WEIGHT,INS_HLTH_DEMO_RISK_SCORE,INS_HLTH_DEMO_RISK_QUARTILE,LABOR_MGMT_SCORE,LABOR_MGMT_QUARTILE,LABOR_MGMT_WEIGHT,OPPS_NUTRI_HLTH_SCORE,OPPS_NUTRI_HLTH_QUARTILE,OPPS_NUTRI_HLTH_WEIGHT,PRIVACY_DATA_SEC_SCORE,PRIVACY_DATA_SEC_QUARTILE,PRIVACY_DATA_SEC_WEIGHT,PROD_SFTY_QUALITY_SCORE,PROD_SFTY_QUALITY_QUARTILE,PROD_SFTY_QUALITY_WEIGHT,RESPONSIBLE_INVEST_SCORE,RESPONSIBLE_INVEST_QUARTILE,RESPONSIBLE_INVEST_WEIGHT,SUPPLY_CHAIN_LAB_SCORE,SUPPLY_CHAIN_LAB_QUARTILE,SUPPLY_CHAIN_LAB_WEIGHT,ACCOUNTING_SCORE,BOARD_SCORE,CORP_GOVERNANCE_SCORE,CORP_GOVERNANCE_QUARTILE,OWNERSHIP_AND_CONTROL_SCORE,PAY_SCORE,BUS_ETHICS_GOV_PILLAR_SD,BUS_ETHICS_PCTL_GLOBAL,BUS_ETHICS_PCTL_HOME,CORP_BEHAV_ETHICS_SCORE,CORP_BEHAV_GOV_PILLAR_SD,CORP_BEHAV_PCTL_GLOBAL,CORP_BEHAV_PCTL_HOME,TAX_TRANSP_GOV_PILLAR_SD,TAX_TRANSP_PCTL_GLOBAL,TAX_TRANSP_PCTL_HOME,ACCOUNTING_GOV_PILLAR_SD,ACCOUNTING_PCTL_GLOBAL,ACCOUNTING_PCTL_HOME,ASSESSMENT_CHANGE_DATE,BOARD_GOV_PILLAR_SD,BOARD_PCTL_GLOBAL,BOARD_PCTL_HOME,CORP_GOVERNANCE_GOV_PILLAR_SD,GOVERNANCE_PCTL_GLOBAL,GOVERNANCE_PCTL_HOME,OWNERSHIP_GOV_PILLAR_SD,OWNERSHIP_PCTL_GLOBAL,OWNERSHIP_PCTL_HOME,PAY_GOV_PILLAR_SD,PAY_PCTL_GLOBAL,PAY_PCTL_HOME,ESG_HEADLINE,IVA_RATING_ANALYSIS,BIODIV_LAND_USE_SCORE,BIODIV_LAND_USE_WEIGHT,CARBON_EMISSIONS_SCORE,CARBON_EMISSIONS_WEIGHT,INS_CLIMATE_CHG_RISK_SCORE,INS_CLIMATE_CHG_RISK_WEIGHT,ESG_OVERALL_QUARTILE,BIODIV_LAND_USE_QUARTILE,CARBON_EMISSIONS_QUARTILE,INS_CLIMATE_CHG_RISK_QUARTILE,CORP_BEHAV_TAX_TRANSP_SCORE,Industry,CompanyName
IID000000002123735,BBB,20221026,Utilities,A,-1.0,5.7,5.7,20221026.0,6.6,54,3,4.8,33,3,4.5,13,4,Electric Utilities,4.4,14.0,8.0,4.4,6.3,13.0,4.5,13.0,8.2,14.0,7.4,13.0,,0.0,,,,,,0.0,,,,0.0,,,0.0,,,0.0,6.3,2.0,13.0,,0.0,,,,0.0,,,0.0,7.4,2.0,13.0,8.2,2.0,14.0,8.0,1,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,4.5,3.0,13.0,,,5.1,4.0,0.0,,,0.0,8.3,3.0,0.0,,,0.0,,,0.0,,,0.0,9.4,4.1,4.4,4,5.9,5.9,-0.8,95,95,8.0,-0.8,95,95,0.0,100,100,-0.078125,44,76,20210223,-2.67578125,11,29,-4.4,16,22,-0.9375,37,54,-0.703125,49,45,Increased exposure to carbon-related risks,"Power Asset Holdings (PAH) has been downgraded to 'BBB' from 'A'. The recent reassessment of the company indicated a decline in its ESG performance relative to its ESG industry peers, driving the downgrade. Further, our revised methodology has resulted in a higher carbon emission exposure score for natural gas power generation (11.4% of FY 2021 operations) and electric transmission and distribution (~49% of FY 2021 operations) segments, contributing to the downgrade.The company pledged to phase out coal power generation by 2035 (~41% of total installed capacity in 2021) through coal-to-gas conversion. We note new climate targets by some of its business units. The company blends hydrogen into gas distribution networks and aims to replace natural gas with hydrogen. Also, UKPN and SAPN, two electricity transmission and distribution units, adopt voltage management technologies to prepare the networks for renewables.The company continues to trail most global peers on corporate governance, notably in board structure. That said, we note no significant votes against directors at the 2022 AGM; this may indicate improved shareholder satisfaction.With a relatively diversified asset portfolio, compared to pure thermal power generators, the company has moderate exposure to risks tied to toxic releases. Recent disclosures indicate regular external audits of and ISO 14001 certifications for select operations, which may help manage the related issue.",,0.0,4.4,14.0,,0.0,3.0,,4.0,,10.0,Utilities,Residential Real Estate Enterprises
IID000000002123748,A,20220829,Specialty Chemicals,A,0.0,6.9,5.8,20221025.0,6.8,53,1,5.6,33,3,2.1,14,4,Specialty Chemicals,10.0,14.0,5.7,6.5,4.3,11.0,4.2,0.0,6.2,14.0,6.2,14.0,2.1,14.0,,,,,,,,,,,4.3,2.0,11.0,,,,,,,,,,,,,,,,6.2,1.0,14.0,6.2,2.0,14.0,5.7,3,,,,,,,,,,2.1,3.0,14.0,,,,,,,,,,,,,,4.2,3.0,0.0,,,,,,,,,,,,,,,,,,,,,8.8,6.1,6.5,3,9.3,6.4,-1.7,38,37,5.6,-1.7,39,37,0.0,100,100,-0.15625,27,55,20190327,-1.770546875,33,54,-2.7,59,86,-0.15625,91,100,-0.625,56,80,,"DIC's rating is unchanged at 'A'. The company continues to lead industry peers in implementing strong carbon mitigation practices. DIC has a target to become carbon neutral by 2050. Further, its FY 2021 carbon emissions intensity of 77 tCO2e/USD million was significantly lower than the average (310) for the specialty chemicals sub-industry (constituents of the MSCI ACWI Index), as of August 2022. On the other hand, it lags peers in adopting strong chemical safety management practices.The toxic emissions intensive nature of manufacturing printing ink and paints exposes DIC to the risk of incurring potential environmental liabilities. Our research indicates 79% of its facilities are certified to the ISO 14001 standard . Further, DIC's VOC emission intensity decreased by a compound annual rate of 24% between 2017 to 2020.DIC derived 45% of its FY 2021 revenue from Japan and the US, where chemical safety regulations are stringent. It is thus exposed to potential reformulation costs. While we note the company undertakes reformulation of specific products, it appears to lack a formal plan to phase out all hazardous chemicals from its operations, unlike better-performing peers.Enhanced executive pay disclosures have contributed positively to the company's corporate governance score, which remains average compared with those of global peers. Further, while DIC has policies providing whistleblowers protection from retaliation, the company appears to lack provisions for audits of its ethics practices.",,,10.0,14.0,,,2.0,,1.0,,10.0,Materials,Fleet Management Group
IID000000002123750,A,20220825,Software & Services,BBB,1.0,6.3,5.1,20220613.0,6.4,16,3,3.5,37,4,6.0,47,1,IT Consulting & Other Services,10.0,5.0,5.3,4.0,4.8,11.0,5.7,26.0,5.8,0.0,,,6.3,21.0,,,,,,,,,,,4.8,2.0,11.0,,,,,,,,,,,,,,,,,,,5.8,4.0,0.0,5.3,4,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,1.0,26.0,,,10.0,1.0,0.0,,,,6.3,3.0,21.0,,,,,,,,,,8.8,3.4,4.0,4,9.0,2.3,-1.8,31,24,5.2,-1.8,32,24,0.0,100,100,-0.15625,27,55,20210316,-2.96875,8,12,-4.7,13,17,-0.234375,79,74,-1.328125,26,66,"Improvements in governance, but weaknesses in board structures persist; above-par talent management","Otsuka has been upgraded to 'A' from 'BBB'. The Whistleblower Protection Key Metric under the Business Ethics Key Issue was modified. Otsuka has disclosed a policy that provides whistleblowers with protection from retaliation, which contributed to the upgrade. Also, unlike the case in our previous assessment (Nov. 26, 2021), we note the presence of an independent pay committee; this may help provide independent oversight of executive pay practices. Further, Otsuka's talent management programs continue to lead those of industry peers.Strong competition for skilled talent in the IT consulting industry exposes Otsuka to potential talent management complexity. Nonetheless, our research suggests it has industry-leading practices such as annual engagement surveys and graduate internship programs that may help recruit and retain talent. Further, Otsuka's attrition rate at 4.8% for 2018-20 was lower than the industry average of 13% (as of June 2022).Like leading peers, Otsuka appears to capitalize well on the growing demand for clean technology solutions, mainly through its digital transformation offerings, which facilitate optimization of clients' processes.Despite improvements, Otsuka still lags most global peers on corporate governance. This is because its board lacks an independent majority, and is potentially entrenched (5 of 10 directors have served over 15 years: March 2022). Also, it is led by a combined CEO/chair. Such structures may impede management oversight. Further, limited executive pay disclosures may impede peer comparison.",,,10.0,5.0,,,3.0,,2.0,,10.0,Technology,Freight Shipping Industries
IID000000002123759,AA,20220627,Casinos & Gaming,AA,0.0,7.9,6.3,20220627.0,6.1,11,3,7.0,37,1,5.8,52,1,Casinos & Gaming,6.1,11.0,6.0,8.1,,,5.6,21.0,7.4,0.0,,,5.9,31.0,,,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,0.0,,,,0.0,,,0.0,,,0.0,7.4,1.0,0.0,6.0,2,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,10.0,1.0,0.0,,,5.6,3.0,21.0,,,0.0,6.1,2.0,15.0,5.7,1.0,16.0,,,0.0,,,0.0,10.0,8.1,8.1,1,8.8,8.0,-1.6,47,18,5.9,-1.6,47,18,0.0,100,100,0.0,100,100,20220616,-0.859375,73,38,-1.5,90,50,-0.2734375,73,32,-0.3515625,87,72,Diverse business reduces exposure to risks tied to corruption and gambling addiction,"Aristocrat's rating is unchanged at 'AA'. Aristocrat is a gambling machine manufacturer (2021: 48% of revenue) and developer of social casual games where there is no real prize money involved (2021: 52%). The company's diverse businesses result in lower exposure to risks tied to corruption and gambling addiction than for pureplay gambling operators. Aristocrat leads most global peers on corporate governance, while it is on par with global peers in business ethics. Its responsible gaming programs are also on par with those of peers.Five of seven directors were independent of management as of June 2022, including the chair; these features are associated with strong management oversight. Also, Aristocrat's policy against corruption is reinforced by a whistleblower system. However, there is limited information on controls against money laundering.Aristocrat's gambling machines have features, such as pre-commitment and time limits, to mitigate risks tied to addiction. In 2021, the company initiated a trial of a digital wallet product for cashless gambling in Australia. While the wallet reportedly includes self-limit options, we note the convenience the technology brings--to access funds--may present risks for problem gamblers.Aristocrat's mobile games and its trials for cashless gambling may pose cybersecurity challenges as these collect personal data. The company is on par with peers in mitigating the risks. It conducts annual audits and penetration tests to assess security of its systems.",,0.0,6.1,11.0,,0.0,1.0,,4.0,,10.0,Casinos & Gaming,Roadand Rail Transport Technologies
IID000000002123776,AA,20220922,"Oil & Gas Refining, Marketing, Transportation & Storage",AA,0.0,8.3,6.2,20221011.0,5.3,48,2,6.9,37,1,7.5,15,2,Oil & Gas Refining & Marketing,5.9,21.0,6.6,7.8,6.7,11.0,7.5,15.0,7.2,0.0,3.4,16.0,,0.0,,,,,,,,,,,6.7,1.0,11.0,,,,,,,,,,,,,,,,3.4,3.0,16.0,7.2,2.0,0.0,6.6,2,,,,,,,,,,,,,,,,,,,,,,7.5,2.0,,15.0,7.5,1.0,0.0,,,10.0,1.0,0.0,,,,10.0,2.0,0.0,,,,,,,,,,10.0,7.7,7.8,1,9.0,7.3,-1.3,63,66,6.5,-1.3,64,66,0.0,100,100,0.0,100,100,20220121,-1.0234375,64,94,-1.7,84,98,-0.234375,79,74,-0.46875,75,90,Robust R&D in cleantech ventures may help foster low-carbon footprint,"Idemitsu Kosan's rating is unchanged at 'AA'. Idemitsu primarily engages in petroleum refining and chemical manufacturing (75% operations FY 2021), and has a growing presence in renewable energy generation. Despite the limited opportunities to expand its business in the clean technology (cleantech) arena, its R&D efforts continue to lead those of its refining peers. However, Idemitsu's strategies in minimizing the carbon footprint and toxic effluents of its operations remain average compared to those of peers.In FY 2021, Idemitsu grew its generation capacity by 25% YoY to 1.8 GW, where renewable energy such as solar, biomass, wind, and geothermal accounted for 39% of the power mix. Further, it has increased R&D expenditures by 6% CAGR (2019-21), with its three-year R&D/sales average of 0.38 outperforming industry average (0.17) as of August 2022.Most of Idemitsu's operations are based in Japan (84% FY 2021) where carbon regulations are becoming stringent, based on our model. This may further expose the company to risks of additional compliance costs tied to carbon emissions. In line with its net-zero target by 2050, however, its three-year (2018-20) GHG intensity of 251.7 mtCO2e/mUSD was lower than the industry average of 267 as of August 2022.Idemitsu's operations pose lower risk of workplace incidents than those of pure-play refining peers. We note an ongoing scrutiny over a fire that injured an employee at the Kawasaki Refinery in January 2020. Unlike with leading peers, we found that limited work sites were certified to ISO 45001.",,,5.9,21.0,,,1.0,,3.0,,10.0,Energy,Natural Gas Production Corporation
IID000000002123777,BBB,20220203,Auto Components,BB,1.0,5.7,4.7,20220613.0,6.0,24,1,3.9,41,3,4.7,35,2,Tires & Rubber,10.0,0.0,6.7,3.9,3.2,12.0,5.0,18.0,,0.0,8.7,12.0,4.4,17.0,,,,,,0.0,,,,0.0,3.2,3.0,12.0,,,0.0,,,0.0,,0.0,,,,0.0,,,0.0,8.7,1.0,12.0,,,0.0,6.7,1,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,5.8,3.0,0.0,,,5.0,1.0,18.0,,,0.0,,,0.0,4.4,2.0,17.0,,,0.0,,,0.0,2.9,5.2,3.9,4,9.3,1.4,-1.3,67,67,6.6,-1.3,67,67,0.0,100,100,-0.9375,1,1,20200713,-2.1875,21,32,-4.8,12,15,-0.15625,91,100,-1.484375,17,46,,"Toyo Tire has been upgraded to 'BBB' from 'BB'. As of January 2022, Toyo Tire is no longer flagged for controversies over alleged falsification of product performance data (during 1999-2015), driving the upgrade. It appears on par with peers on quality control, with plants certified to ISO 9001 standards; this may help preempt product quality lapses. Also, we note strong initiatives to mitigate risks related to environmental regulations and preempt corruption. Meanwhile, its corporate governance structures appear to be weak.Tire manufacturers face risks related to release of toxic gases and hazardous waste. Our research indicates Toyo Tire has strong initiatives to mitigate such risks: most of its plants are certified to ISO 14001 standards, and it undertakes regular environmental audits.Toyo Tire's relatively small workforce (11,258 vs. industry average of 100,711, as of December 2021), and operations in Japan and Malaysia (FY 2020: 56% of assets), where incidence of labor unrest has historically been low, limits labor complexity. Nonetheless, the company offers equity grants, and benefits such as health and welfare schemes; this may help boost morale and productivity.Toyo Tire leads industry peers in business ethics; notable practices include executive oversight and a formal anti-corruption policy. However, its board lacks an independent majority; this may limit objective management oversight. Further, limited disclosures on executive pay, together with the CEO serving as chair of the pay committee, may not align with investor interests.",,0.0,10.0,0.0,,0.0,1.0,,2.0,,10.0,Other,Logisticsand Distribution Systems
IID000000002123778,BBB,20220915,Building Products,A,-1.0,4.5,5.0,20220915.0,4.3,40,4,4.6,35,3,6.5,25,2,Building Products,4.8,15.0,6.3,5.0,4.3,10.0,6.5,25.0,,,3.9,15.0,,,,,,,,,,,,,4.3,3.0,10.0,,,,,,,,,,,,,,,,3.9,4.0,15.0,,,,6.3,3,,,,,,,,,,,,,,,,,,,,,,8.4,1.0,,10.0,,,0.0,,,5.2,2.0,15.0,,,,,,,,,,,,,,,,8.2,6.1,5.0,4,7.4,2.3,-1.4,53,56,6.2,-1.4,53,57,0.0,100,100,-0.234375,13,19,20221215,-1.7578125,33,55,-3.9,27,43,-0.5859375,54,35,-1.328125,26,66,,"Nippon Sheet Glass has been downgraded to 'BBB' from 'A'. Our research did not find detailed disclosures on Nippon Sheet Glass' (NSG) executive pay (as of July 2022); this limits assessment of such practices and results in a lower score than global peers, thus, driving the downgrade.  Further, at the 2022 AGM, three of the eight directors (2019: two out of nine) received withheld shareholder votes (more than 10%); this may indicate shareholder dissatisfaction with their performance.Typically energy-intensive glass manufacturing operations expose NSG to risks associated with increased compliance costs tied to carbon emission regulations. The company's carbon emission performance trails those of peers. Our research indicates a consistent Y-o-Y increase in NSG's GHG emissions intensity (metric tons CO2e/USD million sales) from 669.3 (FY 2017) to 784.7 (FY 2020).Based on our model, NSG has high exposure to risks of environmental liabilities tied to potential toxic emissions and waste generation in the supply chain. While we note its practices to mitigate risks tied to potential toxic releases are average relative to those of peers, the company appears to lack an environmental management system certified to ISO 14001 for all its operations.As a glass manufacturer, NSG has high exposure to risks of workplace injuries. The company leads most peers on health and safety initiatives, with a health and safety policy that extends to contractors, and targets to reduce injury rates by 20% from FY 2020 to FY 2024.",,,4.8,15.0,,,4.0,,4.0,,10.0,Other,Alternative Energy Associates
IID000000002123780,A,20230109,Metals and Mining - Non-Precious Metals,A,0.0,7.0,5.0,20230109.0,4.4,41,1,5.3,33,2,5.4,26,1,Diversified Metals & Mining,7.0,11.0,7.3,5.4,,,5.4,26.0,5.3,13.0,2.1,17.0,,,,,,0.0,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,0.0,,,,0.0,,,0.0,2.1,3.0,17.0,5.3,1.0,13.0,7.3,1,,,0.0,,,0.0,,,0.0,,,0.0,7.6,1.0,0.0,,,0.0,,,0.0,3.6,2.0,0.0,13.0,6.8,1.0,0.0,,,7.2,1.0,13.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,8.2,6.5,5.4,3,8.6,1.4,-1.1,82,84,7.2,-1.1,82,84,0.0,100,100,-0.234375,13,19,20190718,-1.6015625,38,65,-3.6,32,53,-0.3125,71,68,-1.484375,17,46,,"Dowa Holdings' rating is unchanged at 'A'. The company continues to lead global peers in business ethics framework. It has a detailed anti-corruption policy, backed by employee trainings on ethics. it also provides protection to whistleblowers from retaliation. It leads industry peers in mitigating carbon emissions: its average GHG emission intensity (2018-20; tCO2e/USD million) of 279 was lower than the industry average 846 (Q3 2022). The company however, trails peers in mitigating risks tied to toxic pollutants and wastes.The company has 80% assets in Japan (FY 2021), where our research indicates incidence of labor unrest has been historically low. Like leading peers, it offers a range on non-statutory benefits and employee stock ownership plans. Also, the presence of trade unions covering 31% employees FY 2021 may suggest commitment to protect labor rights.Dowa Holdings' corporate governance practices are average compared to those of Japanese peers. Though it lacks a majority independent board and an independent chair, it has a fully independent pay committee. Also, it follows the 'one share one vote' principle which aligns shareholders' economic rights with voting power.Metal smelting operations could expose the company to risks of environmental liabilities due to potential pollution and wastes. Its FY 2020 NOx and SOx emissions intensities of 0.08 and 0.03 (t/USD million) respectively were lower than the industry averages of 0.42 and 4.54. However, unlike leading peers it seems to lack quantitative pollution reduction targets.",6.7,0.0,7.5,11.0,,0.0,1.0,1.0,1.0,,10.0,Materials,Retail - Consumer Discretionary Partners
IID000000002123785,B,20211008,Real Estate Development & Diversified Activities,,,1.7,3.2,20221216.0,2.7,33,4,4.6,47,3,0.6,20,4,Real Estate Development,6.6,,4.2,6.0,2.7,33.0,0.6,20.0,,,,,,,,,,,,,,,,,,,,2.7,4.0,33.0,,,,,,,,,,,,,,,,,,,4.2,3,,,,,,,,,,,,,,,,,,,,,,0.6,4.0,,20.0,0.7,4.0,0.0,,,,,,,,,,,,,,,,,,,,,9.4,4.5,6.0,2,9.3,7.7,-2.3,16,9,4.1,-2.3,16,9,0.0,100,100,-0.078125,44,76,20221212,-2.49984375,15,35,-3.1,47,63,-0.15625,91,97,-0.390625,86,97,,"We initiate coverage of Zensun Enterprises at 'B'. Zensun Enterprises is a property developer with its portfolio located in China. Our research indicates the company trails peers in adopting strong initiatives to mitigate occupational safety-related risks. Amid China's anti-corruption campaign, Zensun Enterprises lags home market peers in instituting strong business ethics practices. Further, its investment programs to capitalize on the growing demand for sustainable properties lag those of leading local market peers.Property developers may face operational disruptions in the event of workplace accidents. Yet, Zensun Enterprises does not appear to disclose its employee and contractor safety performance, or to set targets to improve performance, unlike leading peers.The company trail peers on corporate governance practices. Two directors of its six-member board are executives, and one holds both the CEO and chairman roles. Such a structure may result in a strong management influence on the board. Further, the presence of related-party transactions with a family firm director could create potential for board-level conflicts of interest, and undermine minority shareholder interests.China's 14th Five-Year Plan (2021-2025) brings an industry-wide trend of urban renewal, thus presenting Zensun Enterprises with opportunities in green development. While the company adopts market-standard water and energy management initiatives, we found no evidence of green building certifications for its property portfolio, placing the company behind peers.",,,6.6,,,,4.0,,4.0,,10.0,Real Estate,Natural Gas Production Ventures
IID000000002124133,CCC,20230127,Household Durables,CCC,0.0,1.4,3.6,20230127.0,3.4,15,4,3.9,50,4,3.2,35,4,Household Appliances,9.0,,5.0,4.6,,,4.1,21.0,,,3.4,15.0,,,,,1.9,14.0,3.4,15.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3,,,,,,,,,,,,,,,,,,,1.9,4.0,14.0,,,,,5.9,3.0,0.0,,,,,,,,,,,,,,,,,,4.1,3.0,21.0,10.0,4.7,4.6,4,4.7,6.8,-2.0,25,52,4.9,-2.0,26,55,0.0,100,100,0.0,100,100,20220809,-2.421875,16,21,-4.2,20,21,-1.2109375,17,20,-0.546875,70,74,Lags global peers on corporate governance; subpar e-waste and mineral sourcing practices,"Bajaj Electricals' rating is unchanged at 'CCC'. Bajaj Electricals continues to lag most global peers on governance. The promoter group, Bajaj held 63% of voting rights as of September 2022, and has board representation--the chair is a former CEO and serves alongside the current CEO. This, combined with the lack of a majority independent board, may undermine minority investor interests. On business ethics, it does not appear to undertake anti-corruption audits. The company trails peers in responsible mineral sourcing programs.Bajaj Electricals' household electric products could contain minerals in their components that could be sourced from conflict regions; this exposes the company to reputational risks. Yet, the company does not appear to implement mineral sourcing policies or vendor due diligence that could help restrict procurement from conflict-prone regions.Bajaj Electricals operates mainly in India (FY 2021: ~97% revenue), where e-waste management regulations are evolving; this suggests moderate exposure to related regulatory risks. However, we found no evidence of leading practices such as take-back initiatives or e-waste recycling targets.Bajaj Electricals outsources the bulk of its manufacturing to third-party suppliers. This exposes it to potential operational delays in case of labor disruption in the supply chain. While the company maintains vendor policies on safety and human rights, it seems to lack regular supplier audits to monitor compliance to vendor code of conduct and provisions of action plans in case of non-compliance.",,,9.0,,,,4.0,,2.0,,10.0,Consumer Goods,Real Estate Investment Trusts (REITs) Associates
